lyrics,moods
"Astro, yeah Sun is down, freezin' cold That's how we already know, winter's here My dawg would probably do it for a Louis belt That's just all he know, he don't know nothin' else I tried to show 'em, yeah I tried to show 'em, yeah, yeah Yeah, yeah, yeah Goin' on you with the pick and roll Young La Flame, he in sicko mode (Woo) Made this here with all the ice on in the booth At the gate outside, when they pull up, they get me loose Yeah, Jump Out boys, that's Nike boys, hoppin' out coupes This **** way too big, when we pull up, give me the loot (Gimme the loot!) Was off the Remy, had a Papoose Had to hit my old town to duck the news Two-four hour lockdown, we made no moves Now it's 4 a.m. and I'm back up poppin' with the crew I just landed in, Chase B mixes pop like Jamba Juice Different colored chains, think my jeweler really sellin' fruits And they chokin', man, know the crackers wish it was a noose Some-some-some-someone said To win the retreat, we all in too deep Play-play-playin' for keeps, don't play us for weak (Someone said) To win the retreat, we all in too deep Play-play-playin' for keeps, don't play us for weak Yeah, this **** way too formal, y'all know I don't follow suit Stacey Dash, most of these girls ain't got a clue All of these hoes I made off records I produced I might take all my exes and put 'em all in a group Hit my eses, I need the bootch 'Bout to turn this function to Bonnaroo Told her, 'Hop in, you comin' too' In the 305, bitches treat me like I'm Uncle Luke (Don't stop, pop that ****!) Had to slop the top off, it's just a roof, uh She said, 'Where we goin'?' I said, 'The moon' We ain't even make it to the room She thought it was the ocean, it's just the pool Now I got her open, it's just the Goose Who put this **** together? I'm the glue Someone said Shorty FaceTimed me out the blue Someone said Play-playin' for keeps Someone said, mother****, someone said Don't play us for weak Yeah Astro, yeah, yeah (Tay Keith, **** these niggas up) Ayy, ayy She's in love with who I am Back in high school, I used to bus it to the dance (Yeah) Now I hit the FBO with duffels in my hands I did half a Xan, thirteen hours 'til I land Had me out like a light, ayy, yeah Like a light, ayy, yeah Like a light, ayy, slept through the flight, ayy Knocked for the night, ayy 767, man, this **** got double bedroom, man I still got scores to settle, man I crept down the block (Down the block) Made a right (Yeah, right) Cut the lights (Yeah, what?), paid the price (Yeah) Niggas think it's sweet (Nah, never), it's on sight (Yeah, what?) Nothin' nice (Yeah), baguettes in my ice (Aw, man) Jesus Christ (Yeah), checks over stripes (Yeah) That's what I like (Yeah), that's what we like (Yeah) Lost my respect, you not a threat When I shoot my shot, that **** wetty like I'm Sheck (****) See the shots that I took (Ayy), wet like I'm Book (Ayy) Wet like I'm Lizzie I be spinnin' Valley, circle blocks 'til I'm dizzy (Yeah, what?) Like where is he? (Yeah, what?) No one seen him (Yeah, yeah) I'm tryna clean 'em (Yeah) She's in love with who I am Back in high school, I used to bus it to the dance Now I hit the FBO with duffels in my hands (Woo) I did half a Xan, thirteen hours 'til I land Had me out like a light (Like a light) Like a light (Like a light) Like a light (Like a light) Like a light Yeah, passed the dawgs a celly Sendin' texts, ain't sendin' kites, yeah He said, 'Keep that on lock' I say, 'You know this ****, it's stife,' yeah It's absolute, yeah (Yeah), I'm back, reboot (It's lit) LaFerrari to Jamba Juice, yeah (Skrrt, skrrt) We back on the road, they jumpin' off, no parachute, yeah Shorty in the back She said she workin' on her glutes, yeah (Oh my God) Ain't by the book, yeah, this how it look, yeah 'Bout a check, yeah (Check), just check the foots, yeah Pass this to my daughter, I'ma show her what it took (Yeah) Baby mama cover Forbes, got these other bitches shook Yeah","focused,energetic"
"Maybe I Lost my mind No one noticed No one noticed It's getting old (I'd kinda like it if you'd call me) All alone ('Cause I'm so over bein' lonely) May have lost it (I need a virtual connection) I have lost it (Be my video obsession) No one tried To read my eyes No one but you Wish it weren't true Maybe I (I'd kinda like it if you'd call me) It's not right ('Cause I'm so over bein' lonely) Make you mine (I need a virtual connection) Take our time (Be my video obsession) Come on, don't leave me, it can't be that easy, babe If you believe me, I guess I'll get on a plane Fly to your city, excited to see your face Hold me, console me, and then I'll leave without a trace Come on, don't leave me, it can't be that easy, babe If you believe me, I guess I'll get on a plane Fly to your city, excited to see your face Hold me, console me, then I'll leave without a trace Come on, don't leave me, it can't be that easy, babe If you believe me, I guess I'll get on a plane Fly to your city, excited to see your face Hold me, console me, and then I'll leave without a trace (Maybe I) Come on, don't leave me, it can't be that easy, babe (It's not right) If you believe me, I guess I'll get on a plane (Make you mine) Fly to your city, excited to see your face (Take our time) Hold me, console me, and then I'll leave without a trace I'd kinda like it if you'd call me (It's not right) 'Cause I'm so over bein' lonely (Make you mine) I need a virtual connection (Take our time) Be my video obsession","sad,mysterious"
"Yeah, inside di ting dem call sweet melody Wahpm gyal, u comin' like a family enuh, eee! Inside fi dem call DC is Maybe I Lost my mind No one noticed No one noticed It's getting old (I'd kinda like it if you'd call me) All alone ('Cause I'm so over bein' lonely) May have lost it (I need a virtual connection) I have lost it (Be my video obsession) No one tried To read my eyes No one but you Wish it weren't true Maybe I (I'd kinda like it if you'd call me) It's not right ('Cause I'm so over bein' lonely) Make you mine (I need a virtual connection) Take our time (Be my video obsession) Come on, don't leave me, it can't be that easy, babe If you believe me, I guess I'll get on a plane Fly to your city, excited to see your face Hold me, console me, and then I'll leave without a trace Come on, don't leave me, it can't be that easy, babe If you believe me, I guess I'll get on a plane Fly to your city, excited to see your face Hold me, console me, then I'll leave without a trace Come on, don't leave me, it can't be that easy, babe If you believe me, I guess I'll get on a plane Fly to your city, excited to see your face Hold me, console me, and then I'll leave without a trace (Maybe I) Come on, don't leave me, it can't be that easy, babe (It's not right) If you believe me, I guess I'll get on a plane (Make you mine) Fly to your city, excited to see your face (Take our time) Hold me, console me, and then I'll leave without a trace I'd kinda like it if you'd call me (It's not right) 'Cause I'm so over bein' lonely (Make you mine) I need a virtual connection (Take our time) Be my video obsessiona d gyal dem, please A max out the diesel, oh yeah! Ayy, my girl, put down di man dem weh a talk nuthin' 'bout fee You done know my lovin' is free Lead out, lead out, the the th- international Daniel Cae- Cae- Cae- I love dominantly You make me weak, make me thirsty for release Wan', come compliment me Then become my enemy Cop a flight to Paris, low key It's you, baby girl, I'm tryna breed, please Baby, try to understand me I'm not a monster, I'm just a man with needs I take flights when I learn it's time to go Tryna take time back crossing timing zones Come press your lips 'pon me LSD got me feelin' empathy Wan fi' alter the mind chemically 'Cause we suffer endlessly Could be Kamikaze, only time will tell Even though I'm godly, might end up in Hell Sweet melody, whine up yuh body 'pon mi Yuh lovin' baby girl, you know mi need it, need it Let me fight for it, mi achieve it, 'chieve it Sweet melody, whine up yuh body 'pon mi Yuh lovin' baby girl, you know mi need it, need it Let me fight for it, mi achieve it, 'chieve it Feel my love drip over your skin Rich dark chocolate, sweet melanin Forevermore you gon' be my kin Whatever Jah has binded, let no man enter in Real up! Hand inna di air fi love enuh what I'm say, no matter weh you believe in G.O.D or L.S.D, ah mad! Lick couple shots, Jesus Christ! Jesus Christ! Hol' on! You give me your love, it's unrequited The thought of you gets me excited I guess I'll come to your crib, uninvited A few of your favorite vices, girl I know you like it Girl, you came through like (Lightning, lightning) You light up my life, you’re like (Lightning, lightning) Danny be good? That's un (likely, likely) But Jah be comin' down, yeah He turned my life around, yeah Sweet melody, whine up yuh body 'pon mi Yuh lovin' baby girl, you know mi need it, need it Let me fight for it, mi achieve it, 'chieve it Sweet melody, whine up yuh body 'pon mi Yuh lovin' baby girl, you know mi need it, need it Let me fight for it, mi achieve it, 'chieve it Feel my love drip over your skin Rich dark chocolate, sweet melanin Forevermore you gon' be my kin Whatever Jah has binded, let no man enter in","romantic,calm"
"Ooh, yeah I just pretend that I'm in the dark and I don't regret 'cause my heart can't take a loss I'd rather be so oblivious I'd rather be with you When it's said, when it's done, yeah I don't ever wanna know I can tell what you done, yeah When I look at you In your eyes I see there's something burning inside you Oh, inside you In your eyes I know it hurts to smile, but you try to Oh, you try to You always try to hide the pain You always know just what to say I always look the other way I'm blind, I'm blind In your eyes You lie, but I don't let it define you Oh, define you I tried to find love In someone else too many times But I hope you know I mean it (Mean it) When I tell you you're the one that was on my mind, oh When it's said, when it's done, yeah I would never let you know (Let you know) I'm ashamed of what I've done, yeah When I look at you In your eyes (Your eyes) I see there's something burning inside you (Inside you) Oh, inside you (Oh, inside you) In your eyes I know it hurts to smile, but you try to (But you try to) Oh, you try to (You try to) You always try to hide the pain (Oh, oh) You always know just what to say (Oh, dear) I always look the other way I'm blind, I'm blind In your eyes You lie, but I don't let it define you (Hey) Oh, define you In your eyes I see there's something burning inside you Oh, inside you You always try to hide the pain You always know just what to say I always look the other way I'm blind, I'm blind In your eyes You lie, but I don't let it define you Oh, define you","romantic,energetic"
"When I stare in your eyes You'll be there forever To watch our life (To watch our life together) You just like going to Heaven (My heart) More than anything (Oh, yeah, oh, yeah, oh, yeah, oh, yeah) I'm fallin' and I'm drownin' But you're takin' me One thousand on my feet, stacks spreaded on my seat Ten thousand on my eyes (Eyes) Rollie Pollie on my wrist Gotta make a flight, big day, slummin' no FaceTime 50K, wonderin' why I'm stormin' off, no race Emboldened by the bliss I was sworn in by a kiss Late from the country caters No peacemaker, I sweep up cases Goin' on a walk with a new suit armor New suit dead, Bottega, that's on it Give me the heat from the sleep, then I harm her Cupid creep in, sleep with a hammer Three time to get me T-T-T'd Still same phone, AT&T-T Still givin' news very vividly Beefin' up, **** a beef Smokin' on some vicious type of reefer I need no beef, no cheese (Yeah) Even when I eat, they cheat (Uh) Every time we meet, naive When I stare in your eyes You'll be there forever To watch our life (To watch our life together) You just like going to Heav— (My heart) One thousand on my feet, stacks spreaded on my seat Ten thousand on my eyes (Eyes) Yeah, it's mad how it gets so deep It's mad how I get so high It's mad how you get me by (By) Tell me, tell me Tell me, tell me Yeah, yeah, yeah, yeah It's me, it's me, it's me, it's me, it's me Look in my eyes, tell me your tale Do you see the road, the map to my soul? Look, tell me the signs whenever the smoke clear out of my face Am I picture-perfect or do I look fried? All of that green and yellow, that drip from your eyes is tellin' Tell you demise, I went to my side To push back the ceilin' and push back the feelings, I had to decide I replay them nights, and right by my side, all I see is a city of people that ride wit' me If they just knew what Scotty would do to jump off the stage and save him a child The things I created became the most weighted, I gotta find balance and keep me a smile (Hah) Yeah, yeah That **** wild, instead I'm a hero I took it from zero, LaFlame Usain I run it for miles, this **** wasn't luck They got me **** up, I put you on bus and take you around A couple of guys inside of the school, I gave 'em the tools to get it off ground They say they the ones when they make the errors Can't look in the mirror (That **** wild) I stand on the stage, I give 'em the rage No turnin' it down, can't tame it, can't follow it We do in the streets, we do it for keeps We do it for rights, got fifty-two weeks This **** ain't for pleasure, I'm comin' to tweak This **** is forever and infinity Number eight, yeah, we write it and wrap it around I take me a bean and I turn to a beast Bought the crib on a hill, made it harder to reach Bought a couple more whips 'cause I needed more speed Bought a couple more watches, I needed more time Didn't buy the condo, it was smarter to lease And I bought some more ice 'cause I brought in the heat Made a cast of my ****, so she never gon' cheat If I gave you a day in my life or a day in my eyes, don't blink","mysterious,focused"
"Ah, ah-ah Ooh-woah Oh-oh Last Christmas, I gave you my heart But the very next day, you gave it away This year, to save me from tears I'll give it to someone special Last Christmas, I gave you my heart But the very next day, you gave it away (You gave it away) This year, to save me from tears I'll give it to someone special (Special) Once bitten and twice shy I keep my distance, but you still catch my eye Tell me, baby, do you recognize me? Well, it's been a year, it doesn't surprise me 'Happy Christmas,' I wrapped it up and sent it With a note saying, 'I love you,' I meant it Now I know what a fool I've been But if you kissed me now, I know you'd fool me again Last Christmas, I gave you my heart But the very next day, you gave it away (You gave it away) This year, to save me from tears I'll give it to someone special (Special) Last Christmas, I gave you my heart But the very next day, you gave it away This year, to save me from tears I'll give it to someone special (Special, oh) Oh, oh, baby A crowded room, friends with tired eyes I'm hiding from you and your soul of ice My God, I thought you were someone to rely on Me? I guess I was a shoulder to cry on A face of a lover with a fire in his heart A man undercover, but you tore me apart Ooh-ooh Now I've found a real love, you'll never fool me again Last Christmas, I gave you my heart But the very next day, you gave it away (You gave it away) This year, to save me from tears I'll give it to someone special (Special) Last Christmas, I gave you my heart But the very next day, you gave it away (You gave me away) This year, to save me from tears I'll give it to someone special (Special) A face on a lover with a fire in his heart (I gave you my heart) A man undercover, but you tore him apart Maybe next year I'll give it to someone, I'll give it to someone special Special Someone","sad,energetic"
"Look, if you had one shot or one opportunity To seize everything you ever wanted in one moment Would you capture it or just let it slip? Yo His palms are sweaty, knees weak, arms are heavy There's vomit on his sweater already, mom's spaghetti He's nervous, but on the surface, he looks calm and ready To drop bombs, but he keeps on forgetting What he wrote down, the whole crowd goes so loud He opens his mouth, but the words won't come out He's chokin', how? Everybody's jokin' now The clock's run out, time's up, over, blaow Snap back to reality, ope, there goes gravity Ope, there goes Rabbit, he choked, he's so mad But he won't give up that easy, no, he won't have it He knows his whole back's to these ropes, it don't matter He's dope, he knows that, but he's broke, he's so stagnant He knows when he goes back to this mobile home, that's when it's Back to the lab again, yo, this old rhapsody Better go capture this moment and hope it don't pass him You better lose yourself in the music The moment, you own it, you better never let it go (Go) You only get one shot, do not miss your chance to blow This opportunity comes once in a lifetime, yo You better lose yourself in the music The moment, you own it, you better never let it go (Go) You only get one shot, do not miss your chance to blow This opportunity comes once in a lifetime, yo You better His soul's escaping through this hole that is gaping This world is mine for the taking, make me king As we move toward a new world order A normal life is boring, but superstardom's Close to post-mortem, it only grows harder Homie grows hotter, he blows, it's all over These hoes is all on him, coast-to-coast shows He's known as the Globetrotter, lonely roads God only knows he's grown farther from home, he's no father He goes home and barely knows his own daughter But hold your nose 'cause here goes the cold water These hoes don't want him no mo', he's cold product They moved on to the next schmoe who flows He nose-dove and sold nada, and so the soap opera Is told, it unfolds, I suppose it's old, partner But the beat goes on, da-da-dom, da-dom, dah-dah-dah-dah You better lose yourself in the music The moment, you own it, you better never let it go (Go) You only get one shot, do not miss your chance to blow This opportunity comes once in a lifetime, yo You better lose yourself in the music The moment, you own it, you better never let it go (Go) You only get one shot, do not miss your chance to blow This opportunity comes once in a lifetime, yo You better No more games, I'ma change what you call rage Tear this motherfuckin' roof off like two dogs caged I was playin' in the beginning, the mood all changed I've been chewed up and spit out and booed off stage But I kept rhymin' and stepped right in the next cypher Best believe somebody's payin' the Pied Piper All the pain inside amplified by the Fact that I can't get by with my nine-to- Five and I can't provide the right type of life for my family 'Cause, man, these **** food stamps don't buy diapers And there's no movie, there's no Mekhi Phifer, this is my life And these times are so hard, and it's gettin' even harder Tryna feed and water my seed, plus teeter-totter Caught up between bein' a father and a prima donna Baby-mama drama, screamin' on her, too much for me to wanna Stay in one spot, another day of monotony's gotten me To the point I'm like a snail, I've got To formulate a plot or end up in jail or shot Success is my only motherfuckin' option, failure's not Mom, I love you, but this trailer's got To go, I cannot grow old in Salem's Lot So here I go, it's my shot, feet, fail me not This may be the only opportunity that I got You better lose yourself in the music The moment, you own it, you better never let it go (Go) You only get one shot, do not miss your chance to blow This opportunity comes once in a lifetime, yo You better lose yourself in the music The moment, you own it, you better never let it go (Go) You only get one shot, do not miss your chance to blow This opportunity comes once in a lifetime, yo You better You can do anything you set your mind to, man","focused,energetic"
"Keep you in the dark, you know they all pretend Keep you in the dark and so it all began Send in your skeletons Sing as their bones go marchin' in again The need you buried deep The secrets that you keep are ever ready Are you ready? I'm finished makin' sense Done pleading ignorance, that whole defense Spinning infinity, boy The wheel is spinnin' me, it's never ending, never ending Same old story What if I say I'm not like the others? What if I say I'm not just another one of your plays? You're the pretender What if I say I will never surrender? What if I say I'm not like the others? What if I say I'm not just another one of your plays? You're the pretender What if I say that I'll never surrender? In time or so I'm told I'm just another soul for sale, oh well The page is out of print We are not permanent, we're temporary, temporary Same old story What if I say I'm not like the others? What if I say I'm not just another one of your plays? You're the pretender What if I say I will never surrender? What if I say I'm not like the others? What if I say I'm not just another one of your plays? You're the pretender What if I say I will never surrender? Oh I'm the voice inside your head You refuse to hear I'm the face that you have to face Mirrorin' your stare I'm what's left, I'm what's right I'm the enemy I'm the hand that'll take you down Bring you to your knees So who are you? Yeah, who are you? Yeah, who are you? Yeah, who are you? (Keep you in the dark, you know they all pretend) What if I say I'm not like the others? What if I say I'm not just another one of your plays? You're the pretender What if I say I will never surrender? What if I say I'm not like the others? What if I say I'm not just another one of your plays? You're the pretender What if I say I will never surrender? What if I say I'm not like the others? (Keep you in the dark) What if I say I'm not just another one of your plays? (You know they all) You're the pretender (Pretend) What if I say I will never surrender? What if I say I'm not like the others? (Keep you in the dark) What if I say I'm not just another one of your plays? (You know they all) You're the pretender (Pretend) What if I say I will never surrender? So who are you? Yeah, who are you? Yeah, who are you?",mad
"It's just one of those days when you don't wanna wake up Everything is ****, everybody sucks You don't really know why But you wanna justify rippin' someone's head off No human contact And if you interact, your life is on contract Your best bet is to stay away, **** It's just one of those days It's all about the he says, she says **** I think you better quit lettin' **** slip Or you'll be leavin' with a fat lip It's all about the he says, she says **** I think you better quit talkin' that **** It's just one of those days, feelin' like a freight train First one to complain leaves with a blood stain **** right, I'm a maniac You better watch your back 'cause I'm fuckin' up your program And if you're stuck up You're just lucked up, next in line to get **** up Your best bet is to stay away, **** It's just one of those days It's all about the he says, she says **** I think you better quit lettin' **** slip Or you'll be leavin' with a fat lip It's all about the he says, she says **** I think you better quit talkin' that ****, punk So come and get it I feel like **** My suggestion is to keep your distance 'Cause right now, I'm dangerous We've all felt like **** And been treated like **** All those motherfuckers that want to step up I hope you know I pack a chainsaw (Chainsaw) I'll skin your ass raw (Ass raw) And if my day keeps goin' this way I just might break somethin' tonight I pack a chainsaw (Chainsaw) I'll skin your ass raw (Ass raw) And if my day keeps goin' this way I just might break somethin' tonight I pack a chainsaw (Chainsaw) I'll skin your ass raw (Ass raw) And if my day keeps goin' this way I just might break your fuckin' face tonight! Give me somethin' to break Give me somethin' to break Just give me somethin' to break How 'bout your fuckin' face? I hope you know I pack a chainsaw (What?) A chainsaw (What?) A motherfuckin' chainsaw (What?) So come and get it It's all about the he says, she says **** I think you better quit lettin' **** slip Or you'll be leavin' with a fat lip It's all about the he says, she says **** I think you better quit talkin' that ****, punk So come and get it","mad, energetic"
"I stay out too late Got nothin' in my brain That's what people say, mm-mm That's what people say, mm-mm I go on too many dates (Haha) But I can't make them stay At least, that's what people say, mm-mm That's what people say, mm-mm But I keep cruisin' Can't stop, won't stop movin' It's like I got this music in my mind Sayin', 'It's gonna be alright' 'Cause the players gonna play, play, play, play, play And the haters gonna hate, hate, hate, hate, hate Baby, I'm just gonna shake, shake, shake, shake, shake I shake it off, I shake it off Heartbreakers gonna break, break, break, break, break And the fakers gonna fake, fake, fake, fake, fake Baby, I'm just gonna shake, shake, shake, shake, shake I shake it off, I shake it off I never miss a beat I'm lightnin' on my feet And that's what they don't see, mm-mm That's what they don't see, mm-mm I'm dancin' on my own (Dancin' on my own) I make the moves up as I go (Moves up as I go) And that's what they don't know, mm-mm That's what they don't know, mm-mm But I keep cruisin' Can't stop, won't stop groovin' It's like I got this music in my mind Sayin', 'It's gonna be alright' 'Cause the players gonna play, play, play, play, play And the haters gonna hate, hate, hate, hate, hate Baby, I'm just gonna shake, shake, shake, shake, shake I shake it off, I shake it off Heartbreakers gonna break, break, break, break, break And the fakers gonna fake, fake, fake, fake, fake Baby, I'm just gonna shake, shake, shake, shake, shake I shake it off, I shake it off I shake it off, I shake it off I, I, I shake it off, I shake it off I, I, I shake it off, I shake it off I, I, I shake it off, I shake it off Hey, hey, hey Just think, while you've been gettin' down and out about the liars And the dirty, dirty cheats of the world You could've been gettin' down To this sick beat My ex-man brought his new girlfriend She's like, 'Oh my God,' but I'm just gonna shake And to the fella over there with the hella good hair Won't you come on over, baby? We can shake, shake, shake Yeah, oh-oh, oh 'Cause the players gonna play, play, play, play, play And the haters gonna hate, hate, hate, hate, hate (Haters gonna hate) Baby, I'm just gonna shake, shake, shake, shake, shake I shake it off, I shake it off (Ha) Heartbreakers gonna break, break, break, break, break (Mmm) And the fakers gonna fake, fake, fake, fake, fake (They fake and fake and fake) Baby, I'm just gonna shake, shake, shake, shake, shake I shake it off, I shake it off (I, I) I shake it off, I shake it off I, I, I shake it off, I shake it off I, I, I shake it off, I shake it off I, I, I shake it off (Yeah), I shake it off I shake it off, I shake it off I, I, I shake it off, I shake it off (You got to) I, I, I shake it off, I shake it off I, I, I shake it off, I shake it off","happy,energetic"
"'Cause, baby, now we got bad blood You know it used to be mad love So take a look what you've done 'Cause, baby, now we got bad blood, hey Now we got problems And I don't think we can solve them You made a really deep cut And, baby, now we got bad blood, hey Did you have to do this? I was thinking that you could be trusted Did you have to ruin What was shiny? Now it's all rusted Did you have to hit me Where I'm weak? Baby, I couldn't breathe And rub it in so deep Salt in the wound like you're laughin' right at me Oh, it's so sad to Think about the good times You and I 'Cause, baby, now we got bad blood You know it used to be mad love So take a look what you've done 'Cause, baby, now we got bad blood, hey Now we got problems And I don't think we can solve them You made a really deep cut And, baby, now we got bad blood, hey Did you think we'd be fine? Still got scars on my back from your knife So don't think it's in the past These kinda wounds, they last and they last Now, did you think it all through? All these things will catch up to you And time can heal, but this won't So if you're comin' my way, just don't Oh, it's so sad to Think about the good times You and I 'Cause, baby, now we got bad blood You know it used to be mad love So take a look what you've done 'Cause, baby, now we've got bad blood, hey Now we got problems And I don't think we can solve them You made a really deep cut And, baby, now we've got bad blood, hey Band-Aids don't fix bullet holes You say sorry just for show If you live like that, you live with ghosts Band-Aids don't fix bullet holes (Hey) You say sorry just for show (Hey) If you live like that, you live with ghosts (Hey), mmm If you love like that, blood runs cold 'Cause, baby, now we got bad blood You know it used to be mad love So take a look what you've done 'Cause, baby, now we got bad blood, hey (Bad blood) Now we got problems And I don't think we can solve them (Don't think we can solve them) You made a really deep cut And, baby, now we got bad blood, hey ('Cause now we got bad blood) 'Cause, baby, now we got bad blood You know it used to be mad love So take a look what you've done (Look what you've done) 'Cause, baby, now we got bad blood, hey (Ooh, woah) Now we got problems And I don't think we can solve them You made a really deep cut And, baby, now we got bad blood, hey","mad,energetic"
"(Ah) Well, good for you, I guess you moved on really easily You found a new girl and it only took a couple weeks Remember when you said that you wanted to give me the world? (World) And good for you, I guess that you've been workin' on yourself I guess that therapist I found for you, she really helped Now you can be a better man for your brand-new girl (Girl) Well, good for you You look happy and healthy, not me If you ever cared to ask Good for you You're doin' great out there without me, baby God, I wish that I could do that I've lost my mind, I've spent the night Cryin' on the floor of my bathroom But you're so unaffected, I really don't get it But I guess good for you Well, good for you, I guess you're gettin' everything you want (Ah) You bought a new car and your career's really takin' off (Ah) It's like we never even happened Baby, what the **** is up with that? (Ah) And good for you, it's like you never even met me Remember when you swore to God I was the only Person who ever got you? Well, screw that, and screw you You will never have to hurt the way you know that I do Well, good for you You look happy and healthy, not me If you ever cared to ask Good for you You're doin' great out there without me, baby God, I wish that I could do that I've lost my mind, I've spent the night Cryin' on the floor of my bathroom But you're so unaffected, I really don't get it But I guess good for you (Ah-ah-ah-ah) (Ah-ah-ah-ah) Maybe I'm too emotional But your apathy's like a wound in salt Maybe I'm too emotional Or maybe you never cared at all Maybe I'm too emotional Your apathy is like a wound in salt Maybe I'm too emotional Or maybe you never cared at all Well, good for you You look happy and healthy, not me If you ever cared to ask Good for you You're doin' great out there without me, baby Like a **** sociopath I've lost my mind, I've spent the night Cryin' on the floor of my bathroom But you're so unaffected, I really don't get it But I guess good for you Well, good for you, I guess you moved on really easily","mad,energetic"
"You broke me first, ah Maybe you don't like talkin' too much about yourself But you shoulda told me that you were thinkin' 'bout someone else You're drunk at a party or maybe it's just that your car broke down Your phone's been off for a couple months, so you're callin' me now I know you, you're like this When **** don't go your way, you needed me to fix it And like me, I did But I ran out of every reason Now suddenly, you're askin' for it back Could you tell me, where'd you get the nerve? Yeah, you could say you miss all that we had But I don't really care how bad it hurts When you broke me first You broke me first Took a while, was in denial when I first heard That you moved on quicker than I coulda ever, you know that hurt Swear for a while, I would stare at my phone just to see your name But now that it's there, I don't really know what to say I know you, you're like this When **** don't go your way, you needed me to fix it And like me, I did But I ran out of every reason Now suddenly, you're askin' for it back Could you tell me, where'd you get the nerve? Yeah, you could say you miss all that we had But I don't really care how bad it hurts When you broke me first You broke me first What did you think would happen? What did you think would happen? I'll never let you have it What did you think would happen? Now suddenly, you're askin' for it back Could you tell me, where'd you get the nerve? Yeah, you could say you miss all that we had But I don't really care how bad it hurts When you broke me first You broke me first (You broke me first) You broke me first, ah","mad,sad,calm,focused"
"(Puttin' my defenses up) ('Cause I don't wanna fall in love') If I ever did that, I think I'd have a heart attack Never put my love out on the line Never said 'yes' to the right guy Never had trouble getting what I want But when it comes to you, I'm never good enough When I don't care I can play 'em like a Ken doll Won't wash my hair Then make 'em bounce like a basketball But you make me wanna act like a girl Paint my nails and wear high heels Yes, you, make me so nervous That I just can't hold your hand You make me glow But I cover up, won't let it show So I'm puttin' my defenses up (Up) 'Cause I don't wanna fall in love (Love) If I ever did that, I think I'd have a heart attack I think I'd have a heart attack I think I'd have a heart attack Never break a sweat for the other guys When you come around, I get paralyzed And every time I try to be myself It comes out wrong, like a cry for help It's just not fair Pain's more trouble than love is worth I gasp for air It feels so good, but you know it hurts But you make me wanna act like a girl Paint my nails and wear perfume For you, make me so nervous That I just can't hold your hand You make me glow But I cover up, won't let it show So I'm puttin' my defenses up (Up) 'Cause I don't wanna fall in love (Love) If I ever did that, I think I'd have a heart attack I think I'd have a heart attack I think I'd have a heart attack The feelings got lost in my lungs They're burning, I'd rather be numb (I'd rather be numb) And there's no one else to blame (No one else to blame) So scared, I take off and I run I'm flyin' too close to the sun And I burst into flames (Flames, flames) You make me glow But I cover up, won't let it show So I'm puttin' my defenses up (Up) 'Cause I don't wanna fall in love (Love) If I ever did that, I think I'd have a heart attack, yeah I think I'd have a heart attack (Heart attack) I think I'd have a heart attack-tack (Oh, I think I'd have a heart attack) I think I'd have a heart attack I think I'd have a heart attack","mad,energetic,focused"
"Maniac You were with your friends, partyin' When the alcohol kicked in Said you wanted me dead So you show up at my home, all alone With a shovel and a rose Do you think I'm a joke? 'Cause People like you always want back what they can't have But I'm past that and you know that So you should turn back to your rat pack, tell 'em I'm trash Tell all of your friends that I'm crazy and drive you mad That I'm such a stalker, a watcher, a psychopath And tell them you hate me and dated me just for laughs So why do you call me and tell me you want me back? You maniac (Maniac, some may say) You maniac (Maniac, some may say) You maniac (Maniac, some may say) You maniac (Maniac, some may say) You just went too far Wrecked your car, called me cryin' in the dark Now you're breakin' my heart So I show up at your place right away Wipe the tears off of your face While you beg me to stay, well People like you always want back what they can't have But I'm past that and you know that So you should turn back to your rat pack, tell 'em I'm trash Tell all of your friends that I'm crazy and drive you mad That I'm such a stalker, a watcher, a psychopath And tell them you hate me and dated me just for laughs So why do you call me and tell me you want me back? You maniac (Maniac, some may say) You maniac (Maniac, some may say) You maniac (Maniac, some may say) You maniac (Maniac, some may say) Psychopathic, don't be so dramatic We had magic, but you made it tragic Now you're manic, honestly, I've had it Listen to yourself, think you need to get some help Tell all of your friends that I'm crazy and drive you mad That I'm such a stalker, a watcher, a psychopath And tell them you hate me and dated me just for laughs So why do you call me and tell me you want me back? You maniac (Maniac, some may say) You maniac (Maniac, some may say) You maniac (Maniac, some may say) You maniac (Maniac, some may say)","mad,energetic"
